mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.738238668441772,0.13581034300826375,0.002799797058105469,0.0016552069723163182,0.7,1,1.0,300,5,6,0.03,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.5326489898409721,0.4710707917862781,0.5979791625289885,0.5339276372939425,0.5135930491415642,0.5298439261183492,0.040951991018551535,1,0.9894095656993405,0.9897038463785077,0.9864112191309887,0.9888965068040079,0.988531211564796,0.9885904699155281,0.0011624826160019394
2.6709659099578857,0.051818615827493614,0.0013638019561767578,0.0005254692996432774,0.6,1,3.0,300,3,4,0.05,0.5,0.8,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 3, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.5318172663655225,0.46854220285578496,0.5773878699750719,0.5379498102169409,0.5308723396603751,0.529313897814739,0.03489292273674535,2,0.9808683956427824,0.9808241817911967,0.9805993685154016,0.9813061600024603,0.9813464824631307,0.9809889176829942,0.00029048486757471723
3.8196911334991457,0.03730640308131673,0.0013423919677734374,4.623368431417024e-05,0.7,1,5.0,300,3,5,0.03,0.5,0.6,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.531644315850351,0.46344419957779104,0.577326575548728,0.5553970426514584,0.5135628045874059,0.5282749876431468,0.03891656698102084,3,0.977263261950539,0.9785713658900643,0.9768140594459171,0.9781267322140063,0.9796960565209529,0.9780942952042959,0.0010123149490389551
3.5026055812835692,0.09475240948445825,0.0014872550964355469,4.40428234783069e-05,0.7,1,0.5,300,8,6,0.03,0.5,0.6,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 8, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.5449545835572824,0.46162483127185927,0.5857533587301792,0.5287351173463163,0.5066334248915609,0.5255402631594397,0.041122720665491386,4,0.9769748274763432,0.98013573156491,0.9720859595479757,0.976078124025589,0.9748287387172162,0.9760206762664069,0.002636288893944239
1.320838499069214,0.028181333183835647,0.0011445045471191405,0.00018854834650435418,0.6,1,0.0,300,3,3,0.05,0.0,0.6,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.5553133869010956,0.44311722870609005,0.5606269018618826,0.5575898151712136,0.5010309003908665,0.5235356466062296,0.04586688986866165,5,0.9285951414576831,0.9280465850303644,0.9278041661246267,0.9306683592659215,0.9283239600638536,0.92868764238849,0.0010252361141914494
3.117651176452637,0.053551595017189264,0.001133871078491211,6.17478160238845e-05,0.9,1,0.5,200,5,5,0.05,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.5262749966654874,0.45641753488873194,0.5791887295696022,0.5495463980375854,0.5036224657638944,0.5230100249850602,0.0416685089088578,6,0.9891316230632513,0.989776856043805,0.9901588650063825,0.9905829940236908,0.9908277275893054,0.990095613145287,0.0006014009387612153
1.3375112533569335,0.022709525877948417,0.0012877464294433593,0.00032386741171994685,0.7,1,1.0,200,5,4,0.05,0.0,0.6,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.5367409208234003,0.4698313352512141,0.5924364377007642,0.5340364773371848,0.48064028481192167,0.522737091184897,0.04416546704025637,7,0.9472974569459163,0.9477431785086036,0.9450680599469033,0.9471729163138602,0.9459620762053615,0.9466487375841292,0.0009862501437405402
2.867789602279663,0.107235011583121,0.0017460346221923827,0.0006767682038406668,0.9,1,0.0,300,10,5,0.03,0.0,0.7,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.7}",0.5388682586016613,0.4611289491603754,0.5908734338901138,0.539479246433679,0.4828012621436095,0.5226302300458878,0.045985763080018935,8,0.9668375450604364,0.9758323812716627,0.970800843663889,0.9724807682298389,0.9691021804747804,0.9710107437401214,0.0030499645731015706
3.36193208694458,0.0569694928145361,0.0022515296936035157,0.0010974433726101105,0.7,8,0.5,300,8,5,0.03,0.5,0.8,"{'subsample': 0.7, 'reg_lambda': 8, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.5339247928944667,0.4655406371139893,0.562989581460805,0.5483923748541408,0.5015326898851323,0.5224760152417068,0.034998118271215954,9,0.9466470163483677,0.9501573370013107,0.9447929999505212,0.9456961623047624,0.9473370540492916,0.9469261139308507,0.0018303292615351517
2.79888014793396,0.03954570642923581,0.0028969287872314454,0.0036260848530873684,0.9,1,1.0,200,3,5,0.05,0.5,0.6,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.5438435438577909,0.45969336312190257,0.5531565477878406,0.5475357781831129,0.506711965021675,0.5221882395944645,0.03525793722716442,10,0.9906371040842485,0.9911587991459756,0.9905529515299362,0.9918389765351249,0.9912520389140944,0.9910879740418759,0.0004659336926014647
