iter	RMSE
468	6.07589118
469	6.072687862
470	6.069685252
471	6.066666945
472	6.063178831
473	6.059897382
474	6.056238636
475	6.05592109
476	6.054466281
477	6.053545319
478	6.052147234
479	6.05155969
480	6.050437604
481	6.048542649
482	6.04605858
483	6.044414409
484	6.043358049
485	6.040214155
486	6.039361264
487	6.03821503
488	6.034910048
489	6.031715166
490	6.029973996
491	6.028012558
492	6.026782129
493	6.023864278
494	6.02125028
495	6.020363005
496	6.017792478
497	6.016847168
498	6.015968618
499	6.015122785
500	6.01219676
501	6.01074337
502	6.010210674
503	6.007338317
504	6.00389203
505	6.003034616
506	6.001121573
507	5.998167953
508	5.996661009
509	5.992965079
510	5.991331909
511	5.988968259
512	5.988367362
513	5.98642729
514	5.982656808
515	5.982009325
516	5.979854081
517	5.977009071
518	5.974274486
519	5.970434541
520	5.969614816
521	5.96888741
522	5.965057239
523	5.964392117
524	5.962288865
525	5.961614596
526	5.95963205
527	5.957952068
528	5.95680037
529	5.955020426
530	5.952235835
531	5.949004049
532	5.94808152
533	5.947314826
534	5.946198972
535	5.945283548
536	5.944441842
537	5.943096929
538	5.942406883
539	5.940847772
540	5.939709973
541	5.938414981
542	5.935687483
543	5.934708459
544	5.932234236
545	5.929562638
546	5.928394681
547	5.926198787
548	5.92547705
549	5.924125965
550	5.922497109
551	5.922236032
552	5.919433637
553	5.918974529
554	5.918034965
555	5.916618175
556	5.912949543
557	5.909759806
558	5.906998734
559	5.904343032
560	5.903721707
561	5.901844131
562	5.901199866
563	5.898533737
564	5.897644364
565	5.897006969
566	5.896098305
567	5.893376386
568	5.892447405
569	5.889553048
570	5.886168383
571	5.885323252
572	5.882517821
573	5.88203415
574	5.881200647
575	5.880115664
576	5.878405975
577	5.877480394
578	5.874013651
579	5.872954301
580	5.869245351
581	5.865232411
582	5.863642221
583	5.862796273
584	5.861723827
585	5.860520088
586	5.859332582
587	5.855833771
588	5.853617859
589	5.852613874
590	5.851333517
591	5.850866915
592	5.848582401
593	5.847881067
594	5.84502208
595	5.841976905
596	5.838077717
597	5.837452498
598	5.834453421
599	5.831240966
600	5.827903012
601	5.824846244
602	5.824526096
603	5.823653187
604	5.823356665
605	5.822356869
606	5.821498318
607	5.820259796
608	5.816617258
609	5.81617913
610	5.81520004
611	5.811691589
612	5.810551904
613	5.807802198
614	5.805014797
615	5.803816063
616	5.801457031
617	5.799134652
618	5.797933675
619	5.794599712
620	5.791287011
621	5.790777403
622	5.7896828
623	5.788873508
624	5.787788936
625	5.787186126
626	5.783888484
627	5.78146335
628	5.780594
629	5.779905146
630	5.776253867
631	5.774661013
632	5.773957159
633	5.770787065
634	5.770306391
635	5.766538938
636	5.765712054
637	5.762498128
638	5.761832419
639	5.757322308
640	5.752434115
641	5.751601805
642	5.750868533
643	5.749768322
644	5.748912557
645	5.748051319
646	5.746861182
647	5.745728546
648	5.744811143
649	5.74395578
650	5.742160891
651	5.741332136
652	5.740507664
653	5.739380161
654	5.738831411
655	5.735183779
656	5.730348329
657	5.728687665
658	5.724951917
659	5.720954179
660	5.720262395
661	5.71940988
662	5.718947339
663	5.71844304
664	5.714339112
665	5.710236594
666	5.706151286
667	5.705055329
668	5.703818464
669	5.702612507
670	5.701957445
671	5.698942468
672	5.696010015
673	5.692507984
674	5.691769732
675	5.691121046
676	5.68876642
677	5.686291159
678	5.685427749
679	5.684698113
680	5.683611533
681	5.682859415
682	5.681762286
683	5.680982526
684	5.676959981
685	5.675943497
686	5.675040243
687	5.673823674
688	5.670246347
689	5.667472032
690	5.665642877
691	5.664547712
692	5.66371534
693	5.660373235
694	5.658843139
695	5.655464391
696	5.653834446
697	5.651045689
698	5.650192261
699	5.649209464
700	5.647601931
701	5.646604261
702	5.643309229
703	5.641999389
704	5.638339189
705	5.634225753
706	5.633678303
707	5.632182673
708	5.631263409
709	5.628910735
710	5.627750638
711	5.62605113
712	5.625264951
713	5.622473316
714	5.621621336
715	5.620745684
716	5.619849831
717	5.618939841
718	5.615666946
719	5.614680544
720	5.613794253
721	5.613054498
722	5.609359741
723	5.608509199
724	5.607626966
725	5.605621138
726	5.60354508
727	5.601130096
728	5.59799874
729	5.593496114
730	5.590772944
731	5.586969795
732	5.58521127
733	5.580862132
734	5.5799435
735	5.576382102
736	5.573188234
737	5.572237392
738	5.571346654
739	5.569092927
740	5.56490245
741	5.562519539
742	5.561708048
743	5.560776453
744	5.556601172
745	5.552392463
746	5.55175626
747	5.550815677
748	5.550087089
749	5.546058149
750	5.542468636
751	5.54147315
752	5.540717913
753	5.53875073
754	5.534463555
755	5.533723524
756	5.532936887
757	5.531498271
758	5.52737176
759	5.523781376
760	5.518968299
761	5.515766628
762	5.511878854
763	5.50748079
764	5.506764588
765	5.505803233
766	5.503304284
767	5.50190847
768	5.499586574
769	5.496530488
770	5.495848615
771	5.494738124
772	5.491219257
773	5.48689718
774	5.484563505
775	5.481644758
776	5.48036128
777	5.475844903
778	5.472270059
779	5.469779382
780	5.466192836
781	5.46511951
782	5.464231584
783	5.460710616
784	5.457156396
785	5.453349813
786	5.449806704
787	5.448854934
788	5.444209101
789	5.441120587
790	5.438240847
791	5.436019215
792	5.434117348
793	5.432781694
794	5.43207409
795	5.428318881
796	5.427610477
